Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response,Consumer disputed
1333174,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,OR,97232,Web,04/16/2015,04/16/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1333099,Debt collection,Medical,False statements or representation,Impersonated an attorney or official,KS,66203,Web,04/16/2015,04/16/2015,"H. Kent Hollins, Attorney at Law, P.A",Closed with explanation,Yes,
1333157,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,Threatened arrest/jail if do not pay,MN,55065,Web,04/16/2015,04/16/2015,Como Law Firm P.A.,Closed with explanation,Yes,
1333101,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,MA,01850,Web,04/16/2015,04/16/2015,"ONLINE Information Services, Inc.",Closed with explanation,Yes,
1334147,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NY,11221,Web,04/16/2015,04/16/2015,"Mercantile Adjustment Bureau, LLC",Closed with explanation,Yes,
1333776,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,NM,87121,Web,04/16/2015,04/16/2015,"Diversified Consultants, Inc.",Closed with explanation,Yes,
1333594,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,OR,97219,Web,04/16/2015,04/16/2015,Ally Financial Inc.,In progress,Yes,
1333410,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt resulted from identity theft,TX,76137,Web,04/16/2015,04/16/2015,"Dynamic Recovery Solutions, LLC",Closed with non-monetary relief,Yes,
1333830,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,CA,95206,Web,04/16/2015,04/16/2015,Flagstar Bank,Closed with explanation,Yes,Yes
1333789,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,TN,38120,Web,04/16/2015,04/16/2015,"I.C. System, Inc.",Closed with explanation,Yes,
1333778,Debt collection,Credit card,Taking/threatening an illegal action,Seized/Attempted to seize property,MD,20747,Web,04/16/2015,04/16/2015,Zwicker & Associates,Closed with non-monetary relief,Yes,
1333869,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,TN,38017,Web,04/16/2015,04/16/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1333864,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,GA,30030,Web,04/16/2015,04/16/2015,Seterus,Closed with explanation,Yes,
1334134,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,GA,30294,Web,04/16/2015,04/16/2015,"Green Trust Cash, LLC",Closed with monetary relief,Yes,
1333906,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FL,33056,Web,04/16/2015,04/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,Yes
1333924,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not disclosed as an attempt to collect,MD,20874,Web,04/16/2015,04/16/2015,"Convergent Resources, Inc.",Closed with explanation,Yes,
1333981,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,TX,77089,Web,04/16/2015,04/16/2015,"I.C. System, Inc.",Closed with explanation,Yes,
1334093,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,TX,79424,Web,04/16/2015,04/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1334011,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,GA,30815,Web,04/16/2015,04/16/2015,Flagstar Bank,In progress,Yes,
