Make,Model Yr,Model,Trim,Price Per Mo,Initial Payment,Months,Miles Per Mo,Lease Cost,Total Miles,Cost Per Mile,Each Addnl Mile,Additional Terms
Subaru,2014,Legacy,2.5i 6MT,$189.00 ,"$1,989.00 ",36,"1,000","$8,793.00 ","36,000",$0.24 ,$0.15 ,Regional offer. Not available in Hawaii.
Subaru,2014,Legacy,2.5i Premium CVT,$243.00 ,$0.00 ,36,"1,000","$8,748.00 ","36,000",$0.24 ,$0.15 ,Regional offer. Not available in Hawaii.
Subaru,2014,Legacy,2.5i Limited CVT,$291.00 ,$0.00 ,36,"1,000","$10,476.00 ","36,000",$0.29 ,$0.15 ,Regional offer. Not available in Hawaii.
Toyota,2014,Camry,LE,$219.00 ,$999.00 ,36,"1,000","$8,883.00 ","36,000",$0.25 ,$0.15 ,Regional offer
Toyota,2014.5,Camry,LE,$189.00 ,"$1,999.00 ",24,"1,000","$6,535.00 ","24,000",$0.27 ,$0.15 ,Regional offer
Toyota,2014.5,Camry,Hybrid LE,$219.00 ,"$1,799.00 ",24,"1,000","$7,055.00 ","24,000",$0.23 ,$0.15 ,Regional offer
Toyota,2014.5,Camry,LE,$219.00 ,$999.00 ,36,"1,000","$8,883.00 ","36,000",$0.25 ,$0.15 ,Regional offer
Toyota,2014.5,Camry,Hybrid,$199.00 ,"$1,699.00 ",24,"1,000","$6,475.00 ","24,000",$0.27 ,$0.15 ,Regional offer
Toyota,2014,Corolla,S Plus,$199.00 ,$999.00 ,36,"1,000","$8,163.00 ","36,000",$0.23 ,$0.15 ,Regional offer
Toyota,2014,Corolla,LE Plus,$199.00 ,$999.00 ,36,"1,000","$8,163.00 ","36,000",$0.23 ,$0.15 ,Regional offer
Toyota,2014,Corolla,LE Plus,$199.00 ,$999.00 ,24,"1,000","$5,775.00 ","24,000",$0.24 ,$0.15 ,Regional offer
Toyota,2014,Prius,,$209.00 ,"$2,199.00 ",24,"1,000","$7,215.00 ","24,000",$0.30 ,$0.15 ,Regional offer
Toyota,2014,Prius,C,$199.00 ,$999.00 ,36,"1,000","$8,163.00 ","36,000",$0.23 ,$0.15 ,Regional offer
Toyota,2014,RAV4,,$199.00 ,"$1,999.00 ",24,"1,000","$6,775.00 ","24,000",$0.28 ,$0.15 ,Regional offer
Volkswagen,2014,Jetta,SE 1.8T,$199.00 ,"$2,349.00 ",36,"1,000","$9,513.00 ","36,000",$0.26 ,$0.20 
